Beat_Index,Time_s,Original_RR_ms,Cleaned_RR_ms,Instant_HR_BPM
238,181.222,682,682,87.9765395894428
239,181.91,688,688,87.2093023255814
240,182.616,706,706,84.985835694051
241,183.354,738,738,81.3008130081301
242,184.088,734,734,81.7438692098093
243,184.796,708,708,84.7457627118644
244,185.474,678,678,88.4955752212389
245,186.158,684,684,87.719298245614
246,186.844,686,686,87.4635568513119
247,187.5,656,656,91.4634146341463
248,188.148,648,648,92.5925925925926
249,188.822,674,674,89.0207715133531
250,189.664,842,842,71.2589073634204
251,190.572,908,908,66.079295154185
252,191.552,980,980,61.2244897959184
253,192.52,968,968,61.9834710743802
254,193.418,898,898,66.815144766147
255,194.27,852,852,70.4225352112676
256,195.146,876,876,68.4931506849315
257,196.08,934,934,64.2398286937901
258,197.042,962,962,62.3700623700624
259,197.998,956,956,62.7615062761506
260,198.914,916,916,65.5021834061135
261,199.772,858,858,69.9300699300699
262,200.554,782,782,76.7263427109974
263,201.298,744,744,80.6451612903226
264,202.038,740,740,81.0810810810811
265,202.826,788,788,76.1421319796954
266,203.736,910,910,65.9340659340659
267,204.664,928,928,64.6551724137931
268,205.588,924,924,64.9350649350649
269,206.484,896,896,66.9642857142857
270,207.302,818,818,73.3496332518337
271,208.07,768,768,78.125
272,208.838,768,768,78.125
273,209.652,814,814,73.7100737100737
274,210.54,888,888,67.5675675675676
275,211.45,910,910,65.9340659340659
276,212.352,902,902,66.5188470066519
277,213.2,848,848,70.7547169811321
278,213.982,782,782,76.7263427109974
279,214.728,746,746,80.4289544235925
280,215.47,742,742,80.8625336927224
281,216.244,774,774,77.5193798449612
282,217.078,834,834,71.9424460431655
283,217.868,790,790,75.9493670886076
284,218.61,742,742,80.8625336927224
285,219.334,724,724,82.8729281767956
286,220.044,710,710,84.5070422535211
287,220.75,706,706,84.985835694051
288,221.466,716,716,83.7988826815643
289,222.214,748,748,80.2139037433155
290,222.994,780,780,76.9230769230769
291,223.758,764,764,78.5340314136126
292,224.484,726,726,82.6446280991736
293,225.184,700,700,85.7142857142857
294,225.858,674,674,89.0207715133531
295,226.512,654,654,91.743119266055
296,227.146,634,634,94.6372239747634
297,227.766,620,620,96.7741935483871
